run,pipeline_time,baseline_time
1,0.04067471400003342,0.0034471720000510686
2,0.045714701999713725,0.003106487999957608
3,0.044506464000278356,0.004186850999758462
4,0.03730760200005534,0.003033037000022887
5,0.03915557600021202,0.0030265579998740577
